,Path,kSAT_k,kSAT_v,kSAT_c,kSAT_actual_v,kSAT_actual_lit,kSAT_clauses_per_variable,kSAT_clauses_per_literal,qubo_density_deg1,qubo_density_deg2,qubo_variables,qubo_monomials,qubo_monomials_per_variable,time_createInstance,time_ChoisReduc,time_totalPath,kSAT_approx_node_connectivity,qubo_approx_node_connectivity
2457,KCMCQ,3,39,41,36,59,1.1388888888888888,0.6949152542372882,1.0,0.0273224043715847,123,328,2.6666666666666665,0.00027298927307128906,0.014759302139282227,0.015032291412353516,2,1
2458,KCMCQ,3,39,28,35,48,0.8,0.5833333333333334,1.0,0.03298909925415949,84,199,2.369047619047619,0.00021600723266601562,0.0069713592529296875,0.007187366485595703,2,0
2459,KCMCQ,3,39,15,26,31,0.5769230769230769,0.4838709677419355,1.0,0.051515151515151514,45,96,2.1333333333333333,0.00015282630920410156,0.002124309539794922,0.0022771358489990234,1,0
2460,KCMCQ,3,39,2,6,6,0.3333333333333333,0.3333333333333333,1.0,0.4,6,12,2.0,0.0001010894775390625,0.00018358230590820312,0.0002846717834472656,0,0
2461,KCMCQ,3,36,288,36,72,8.0,4.0,1.0,0.015871099952791727,864,6781,7.84837962962963,0.0015263557434082031,0.7594561576843262,0.7609825134277344,21,6
2462,KCMCQ,3,36,275,36,72,7.638888888888889,3.8194444444444446,1.0,0.015854663136216533,825,6214,7.532121212121212,0.0013666152954101562,0.6665828227996826,0.6679494380950928,21,6
2463,KCMCQ,3,36,262,36,72,7.277777777777778,3.638888888888889,1.0,0.01583766875739453,786,5672,7.216284987277354,0.0013043880462646484,0.6028852462768555,0.6041896343231201,20,5
2464,KCMCQ,3,36,249,36,72,6.916666666666667,3.4583333333333335,1.0,0.015992477506092288,747,5203,6.965194109772423,0.0012786388397216797,0.5481150150299072,0.5493936538696289,19,5
2465,KCMCQ,3,36,236,36,72,6.555555555555555,3.2777777777777777,1.0,0.016186001166702626,708,4759,6.721751412429379,0.0011963844299316406,0.49055027961730957,0.4917466640472412,18,5
2466,KCMCQ,3,36,223,36,72,6.194444444444445,3.0972222222222223,1.0,0.016209733000366978,669,4291,6.414050822122571,0.0011186599731445312,0.4389772415161133,0.4400959014892578,18,5
2467,KCMCQ,3,36,210,36,72,5.833333333333333,2.9166666666666665,1.0,0.016443334090392912,630,3888,6.171428571428572,0.001073598861694336,0.39168429374694824,0.3927578926086426,17,4
2468,KCMCQ,3,36,197,36,72,5.472222222222222,2.736111111111111,1.0,0.016725458143336487,591,3507,5.934010152284264,0.0010111331939697266,0.3371109962463379,0.3381221294403076,15,4
2469,KCMCQ,3,36,184,36,72,5.111111111111111,2.5555555555555554,1.0,0.01705726084326258,552,3146,5.699275362318841,0.0009400844573974609,0.2948436737060547,0.29578375816345215,15,4
2470,KCMCQ,3,36,171,36,72,4.75,2.375,1.0,0.01733826754385965,513,2790,5.43859649122807,0.0009348392486572266,0.2600677013397217,0.2610025405883789,12,4
2471,KCMCQ,3,36,158,36,72,4.388888888888889,2.1944444444444446,1.0,0.01745747138740957,474,2431,5.128691983122363,0.0008561611175537109,0.21784114837646484,0.21869730949401855,11,4
2472,KCMCQ,3,36,145,36,72,4.027777777777778,2.013888888888889,1.0,0.01791408443243816,435,2126,4.88735632183908,0.0007631778717041016,0.1829392910003662,0.1837024688720703,9,3
2473,KCMCQ,3,36,132,36,72,3.6666666666666665,1.8333333333333333,1.0,0.01830967906917274,396,1828,4.616161616161616,0.0007257461547851562,0.15106916427612305,0.1517949104309082,9,3
2474,KCMCQ,3,36,119,36,72,3.3055555555555554,1.6527777777777777,1.0,0.0189311679728071,357,1560,4.369747899159663,0.0006740093231201172,0.1241922378540039,0.12486624717712402,9,3
2475,KCMCQ,3,36,106,36,72,2.9444444444444446,1.4722222222222223,1.0,0.019423447017042638,318,1297,4.078616352201258,0.0006184577941894531,0.0974113941192627,0.09802985191345215,8,3
2476,KCMCQ,3,36,93,36,72,2.5833333333333335,1.2916666666666667,1.0,0.020190299373404504,279,1062,3.806451612903226,0.0005335807800292969,0.07509851455688477,0.07563209533691406,6,3
2477,KCMCQ,3,36,80,36,71,2.2222222222222223,1.1267605633802817,1.0,0.02116457461645746,240,847,3.529166666666667,0.00045871734619140625,0.05499100685119629,0.055449724197387695,6,2
2478,KCMCQ,3,36,67,36,69,1.8611111111111112,0.9710144927536232,1.0,0.023134328358208955,201,666,3.3134328358208953,0.0004124641418457031,0.03911447525024414,0.039526939392089844,3,2
2479,KCMCQ,3,36,54,36,65,1.5,0.8307692307692308,1.0,0.025458170385706618,162,494,3.049382716049383,0.0003552436828613281,0.0272214412689209,0.027576684951782227,2,1
2480,KCMCQ,3,36,41,33,56,1.2424242424242424,0.7321428571428571,1.0,0.029454884712781553,123,344,2.796747967479675,0.0002720355987548828,0.014774322509765625,0.015046358108520508,2,1
2481,KCMCQ,3,36,28,32,47,0.875,0.5957446808510638,1.0,0.03585771658060815,84,209,2.488095238095238,0.00021982192993164062,0.007075071334838867,0.007294893264770508,2,0
2482,KCMCQ,3,36,15,27,32,0.5555555555555556,0.46875,1.0,0.05454545454545454,45,99,2.2,0.00016045570373535156,0.002138376235961914,0.0022988319396972656,0,0
2483,KCMCQ,3,36,2,6,6,0.3333333333333333,0.3333333333333333,1.0,0.4,6,12,2.0,9.274482727050781e-05,0.00019240379333496094,0.00028514862060546875,0,0
2484,KCMCQ,3,33,288,33,66,8.727272727272727,4.363636363636363,1.0,0.017204197244753444,864,7278,8.42361111111111,0.0014536380767822266,0.7801618576049805,0.7816154956817627,20,7
2485,KCMCQ,3,33,275,33,66,8.333333333333334,4.166666666666667,1.0,0.017266843189173285,825,6694,8.113939393939393,0.0014357566833496094,0.6768548488616943,0.678290605545044,20,6
2486,KCMCQ,3,33,262,33,66,7.9393939393939394,3.9696969696969697,1.0,0.017322247613490868,786,6130,7.798982188295166,0.001321554183959961,0.6090610027313232,0.6103825569152832,18,6
2487,KCMCQ,3,33,249,33,66,7.545454545454546,3.772727272727273,1.0,0.017481902588010665,747,5618,7.520749665327979,0.0014276504516601562,0.5447094440460205,0.5461370944976807,17,6
2488,KCMCQ,3,33,236,33,66,7.151515151515151,3.5757575757575757,1.0,0.017584446095941314,708,5109,7.216101694915254,0.0012602806091308594,0.49395298957824707,0.49521327018737793,16,6
2489,KCMCQ,3,33,223,33,66,6.757575757575758,3.378787878787879,1.0,0.017641846352138772,669,4611,6.8923766816143495,0.00115203857421875,0.4432966709136963,0.44444870948791504,16,6
2490,KCMCQ,3,33,210,33,66,6.363636363636363,3.1818181818181817,1.0,0.01783632371867666,630,4164,6.609523809523809,0.0011410713195800781,0.4270942211151123,0.4282352924346924,15,6
2491,KCMCQ,3,33,197,33,66,5.96969696969697,2.984848484848485,1.0,0.0181364535834122,591,3753,6.350253807106599,0.0009984970092773438,0.34656405448913574,0.3475625514984131,14,6
2492,KCMCQ,3,33,184,33,66,5.575757575757576,2.787878787878788,1.0,0.018300060496067756,552,3335,6.041666666666667,0.001043081283569336,0.2981417179107666,0.29918479919433594,14,5
