,Path,kSAT_k,kSAT_v,kSAT_c,kSAT_actual_v,kSAT_actual_lit,kSAT_clauses_per_variable,kSAT_clauses_per_literal,3SAT_c,3SAT_actual_v,3SAT_actual_lit,3SAT_clauses_per_variable,3SAT_clauses_per_literal,qubo_density_deg1,qubo_density_deg2,qubo_variables,qubo_monomials,qubo_monomials_per_variable,time_createInstance,time_textbook3SatfromkSat,time_ChoisReduc,time_totalPath,kSAT_approx_node_connectivity,3SAT_approx_node_connectivity,qubo_approx_node_connectivity
1752,KT3CMCQ,7,19,236,19,38,12.421052631578947,6.2105263157894735,1180,963,1926,1.22533748701973,0.612668743509865,1.0,0.006484962556054169,3540,44162,12.475141242937854,0.0021414756774902344,0.0028650760650634766,12.619842767715454,12.624849319458008,1,3,2
1753,KT3CMCQ,7,19,223,19,38,11.736842105263158,5.868421052631579,1115,911,1822,1.2239297475301867,0.6119648737650933,1.0,0.006508857753842413,3345,39748,11.882810164424514,0.002173900604248047,0.0027768611907958984,11.598652601242065,11.60360336303711,1,3,2
1754,KT3CMCQ,7,19,210,19,38,11.052631578947368,5.526315789473684,1050,859,1718,1.2223515715948778,0.6111757857974389,1.0,0.006553655229425315,3150,35654,11.318730158730158,0.00202178955078125,0.0041468143463134766,10.233077049255371,10.239245653152466,1,3,2
1755,KT3CMCQ,7,19,197,19,38,10.368421052631579,5.184210526315789,985,807,1614,1.2205700123915737,0.6102850061957868,1.0,0.006589018074090367,2955,31713,10.731979695431471,0.0018672943115234375,0.0023593902587890625,8.621922016143799,8.626148700714111,1,3,2
1756,KT3CMCQ,7,19,184,19,38,9.68421052631579,4.842105263157895,920,755,1510,1.218543046357616,0.609271523178808,1.0,0.006665143325401453,2760,28137,10.194565217391304,0.0017664432525634766,0.002197265625,7.459861516952515,7.463825225830078,1,3,2
1757,KT3CMCQ,7,19,171,19,38,9.0,4.5,855,703,1406,1.2162162162162162,0.6081081081081081,1.0,0.006745977441436839,2565,24748,9.648343079922027,0.0015864372253417969,0.002091646194458008,6.303424119949341,6.307102203369141,1,3,2
1758,KT3CMCQ,7,19,158,19,38,8.31578947368421,4.157894736842105,790,651,1302,1.2135176651305684,0.6067588325652842,1.0,0.006864332366199842,2370,21640,9.130801687763713,0.001493215560913086,0.002254009246826172,5.452527761459351,5.45627498626709,1,3,2
1759,KT3CMCQ,7,19,145,19,38,7.631578947368421,3.8157894736842106,725,599,1198,1.2103505843071787,0.6051752921535893,1.0,0.0069650731212130826,2175,18642,8.571034482758622,0.0014615058898925781,0.0018262863159179688,4.966334342956543,4.9696221351623535,1,3,2
1760,KT3CMCQ,7,19,132,19,38,6.947368421052632,3.473684210526316,660,547,1094,1.206581352833638,0.603290676416819,1.0,0.007050801088193711,1980,15794,7.976767676767677,0.0012984275817871094,0.0015490055084228516,4.019187927246094,4.022035360336304,2,3,2
1761,KT3CMCQ,7,19,119,19,38,6.2631578947368425,3.1315789473684212,595,495,990,1.202020202020202,0.601010101010101,1.0,0.0071918453480046725,1785,13236,7.415126050420168,0.0012023448944091797,0.0014052391052246094,3.2490856647491455,3.2516932487487793,2,3,2
1762,KT3CMCQ,7,19,106,19,38,5.578947368421052,2.789473684210526,530,443,886,1.1963882618510158,0.5981941309255079,1.0,0.007397556312858449,1590,10935,6.877358490566038,0.0010602474212646484,0.001276254653930664,2.4786903858184814,2.4810268878936768,2,3,2
1763,KT3CMCQ,7,19,93,19,38,4.894736842105263,2.4473684210526314,465,391,782,1.1892583120204603,0.5946291560102301,1.0,0.007635385651769231,1395,8819,6.321863799283154,0.0009624958038330078,0.0010738372802734375,1.9968485832214355,1.998884916305542,2,3,2
1764,KT3CMCQ,7,19,80,19,38,4.2105263157894735,2.1052631578947367,400,339,678,1.1799410029498525,0.5899705014749262,1.0,0.007980261328885182,1200,6941,5.784166666666667,0.000827789306640625,0.0010149478912353516,1.5257022380828857,1.5275449752807617,2,3,2
1765,KT3CMCQ,7,19,67,19,38,3.526315789473684,1.763157894736842,335,287,574,1.1672473867595818,0.5836236933797909,1.0,0.008398247804800698,1005,5242,5.21592039800995,0.0006866455078125,0.0007674694061279297,0.9749140739440918,0.9763681888580322,2,3,3
1766,KT3CMCQ,7,19,54,19,38,2.8421052631578947,1.4210526315789473,270,235,470,1.148936170212766,0.574468085106383,1.0,0.009064688916357644,810,3780,4.666666666666667,0.0005433559417724609,0.0006122589111328125,0.6159076690673828,0.6170632839202881,2,3,3
1767,KT3CMCQ,7,19,41,19,38,2.1578947368421053,1.0789473684210527,205,183,366,1.1202185792349726,0.5601092896174863,1.0,0.010047403405630147,615,2512,4.084552845528456,0.00045752525329589844,0.0004718303680419922,0.357058048248291,0.3579874038696289,1,3,3
1768,KT3CMCQ,7,19,28,19,38,1.4736842105263157,0.7368421052631579,140,131,262,1.0687022900763359,0.5343511450381679,1.0,0.01217183770883055,420,1491,3.55,0.0003402233123779297,0.00033736228942871094,0.17124390602111816,0.1719214916229248,1,3,3
